"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20","20","0.5p","Capacitor_SMD:C_0805_2012Metric",""
"2","C21","1","1P","Capacitor_SMD:C_0805_2012Metric",""
"3","C22","1","C","Capacitor_SMD:C_0805_2012Metric",""
"4","J1, J2","2","Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount",""
"5","J11","1","Conn_02x07_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x07_P1.27mm_Vertical",""
"6","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10","10","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"7","R1_A1, R2_A1","2","68.1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"8","R1_B1, R2_B1","2","115","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"9","R1_C1, R2_C1","2","221","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","R1_D1, R2_D1","2","432","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"11","R1_E1, R2_E1","2","866","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","Rs_A1","1","154","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","Rs_B1","1","52.3","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"14","Rs_C1","1","23.7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","Rs_D1, Rs_E1, Rs_E2","3","11.5","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"16","U1, U2, U3, U4, U5, U6, U7, U8, U9, U10","10","4259-63","switch:SC-70-6_PSM",""
